2025-10-28 12:36:45,093 - __main__ - INFO - IPTV直播源整理工具 开始运行
2025-10-28 12:36:45,141 - __main__ - INFO - 开始获取直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 开始解析直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 解析TXT格式数据...
2025-10-28 12:36:46,417 - __main__ - INFO - 解析完成: 59个频道
2025-10-28 12:36:46,418 - __main__ - INFO - 开始频道测速处理...
2025-10-28 12:36:46,418 - __main__ - INFO - 开始测速 59 个频道...
2025-10-28 12:39:38,183 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.211:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.211:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:39:53,462 - __main__ - WARNING - 测速失败: http://113.106.171.234:8899/rtp/239.20.0.194:2186, 错误: Command '['ffmpeg', '-i', 'http://113.106.171.234:8899/rtp/239.20.0.194:2186', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 251.
2025-10-28 12:40:08,798 - __main__ - WARNING - 测速失败: http://tvpull.dxhmt.cn:9081/tv/11425-1.m3u8, 错误: Command '['ffmpeg', '-i', 'http://tvpull.dxhmt.cn:9081/tv/11425-1.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:40:28,556 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.112:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.112:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:40:38,436 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.112:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.112:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:41:10,992 - __main__ - WARNING - 测速失败: http://223.167.230.34:4022/rtp/239.45.3.232:5140, 错误: Command '['ffmpeg', '-i', 'http://223.167.230.34:4022/rtp/239.45.3.232:5140', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:41:11,536 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.105:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.105:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:41:18,503 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.105:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.105:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:42:18,291 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.107:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.107:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:42:18,953 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.107:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.107:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:42:30,023 - __main__ - WARNING - 测速失败: http://115.171.216.92:4000/udp/225.1.8.77:8076, 错误: Command '['ffmpeg', '-i', 'http://115.171.216.92:4000/udp/225.1.8.77:8076', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 69.
2025-10-28 12:42:34,264 - __main__ - WARNING - 测速失败: http://113.106.171.234:8899/rtp/239.20.0.212:2222, 错误: Command '['ffmpeg', '-i', 'http://113.106.171.234:8899/rtp/239.20.0.212:2222', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 251.
2025-10-28 12:42:54,211 - __main__ - WARNING - 测速失败: http://183.220.107.138:4022/rtp/239.11.0.52:5140, 错误: Command '['ffmpeg', '-i', 'http://183.220.107.138:4022/rtp/239.11.0.52:5140', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 251.
