Name: CCTV-4, URL: http://125.46.142.181:2000/rtp/225.1.5.30:1333, Date: None, Resolution: 1920x1080, Response Time: 27fps
Name: CCTV-4, URL: http://ik6.iptv8.net:8888/rtp/225.1.5.32:1343, Date: None, Resolution: 1920x1080, Response Time: 24fps
Name: CCTV-4, URL: http://ik6.iptv8.net:8888/rtp/225.1.5.31:1342, Date: None, Resolution: 1920x1080, Response Time: 23fps
Name: CCTV-4, URL: http://125.46.142.181:2000/rtp/225.1.5.31:1342, Date: None, Resolution: 1920x1080, Response Time: 16fps
Name: CCTV-4, URL: http://42.236.161.90:8888/rtp/225.1.5.30:1333, Date: None, Resolution: 1920x1080, Response Time: 15fps
Name: CCTV-4, URL: http://ik6.iptv8.net:8888/rtp/225.1.5.30:1333, Date: None, Resolution: 1920x1080, Response Time: 12fps
Name: CCTV-4, URL: http://42.236.161.90:8888/rtp/225.1.5.31:1342, Date: None, Resolution: 1920x1080, Response Time: 7fps
Name: CCTV-4, URL: http://222.141.134.39:888/rtp/225.1.4.4:1033, Date: None, Resolution: 720x576, Response Time: 222fps
Name: CCTV-4, URL: http://115.60.241.249:2000/rtp/225.1.4.4:1033, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-4, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.4:1033, Date: None, Resolution: 720x576, Response Time: 99fps
Name: CCTV-5, URL: http://114.98.189.106:2000/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-5, URL: http://114.97.197.83:4022/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-5, URL: http://114.98.189.95:2000/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-5, URL: http://220.178.185.174:4000/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 124fps
Name: CCTV-5, URL: http://60.169.119.150:58888/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 118fps
Name: CCTV-5, URL: http://www.lwfz.fun:8800/rtp/239.16.10.132:2000, Date: None, Resolution: 1920x1080, Response Time: 111fps
Name: CCTV-5, URL: http://125.46.142.181:2000/rtp/225.1.4.159:1195, Date: None, Resolution: 1920x1080, Response Time: 64fps
Name: CCTV-5, URL: http://42.236.161.90:8888/rtp/225.1.4.159:1195, Date: None, Resolution: 1920x1080, Response Time: 46fps
Name: CCTV-5, URL: http://222.141.134.39:888/rtp/225.1.4.159:1195, Date: None, Resolution: 1920x1080, Response Time: 27fps
Name: CCTV-5, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.159:1195, Date: None, Resolution: 1920x1080, Response Time: 24fps
Name: CCTV-5, URL: http://183.164.33.215:4022/rtp/238.1.78.171:7240, Date: None, Resolution: 1920x1080, Response Time: 11fps
Name: CCTV-6, URL: http://114.98.189.106:2000/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 112fps
Name: CCTV-6, URL: http://114.97.197.83:4022/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 112fps
Name: CCTV-6, URL: http://114.98.189.95:2000/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 112fps
